"","agency_cd","site_no","sample_dt","sample_tm","sample_end_dt","sample_end_tm","tm_datum_rlbty_cd","coll_ent_cd","medium_cd","project_cd","aqfr_cd","tu_id","body_part_id","hyd_cond_cd","samp_type_cd","hyd_event_cd","sample_lab_cm_tx","parm_cd","remark_cd","result_va","val_qual_tx","meth_cd","dqi_cd","rpt_lev_va","rpt_lev_cd","lab_std_va","prep_set_no","prep_dt","anl_set_no","anl_dt","result_lab_cm_tx","anl_ent_cd","sample_start_time_datum_cd_reported","sample_end_time_datum_cd_reported","startDateTime","sample_end_dateTime","tz_cd"
"1","USGS","01491000",1984-10-19,"11:15",NA,NA,"T","USGS-WRD","WS",NA,NA,NA,NA,"9","9","9",NA,"00618",NA,1,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1984-10-19 16:15:00,NA,"UTC"
"2","USGS","01491000",1984-12-05,"11:30",NA,NA,"T","USGS-WRD","WS",NA,NA,NA,NA,"9","9","9",NA,"00618",NA,1.1,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1984-12-05 16:30:00,NA,"UTC"
"3","USGS","01491000",1985-01-10,"11:30",NA,NA,"T","USGS-WRD","WS",NA,NA,NA,NA,"9","9","9",NA,"00618",NA,1.3,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1985-01-10 16:30:00,NA,"UTC"
"4","USGS","01491000",1985-02-11,"10:30",NA,NA,"T","USGS-WRD","WS",NA,NA,NA,NA,"9","9","9",NA,"00618",NA,1.38,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1985-02-11 15:30:00,NA,"UTC"
"5","USGS","01491000",1985-03-07,"11:45",NA,NA,"T","USGS-WRD","WS",NA,NA,NA,NA,"9","9","9",NA,"00618",NA,0.9,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1985-03-07 16:45:00,NA,"UTC"
"6","USGS","01491000",1985-04-18,"11:00",NA,NA,"T","USGS-WRD","WS",NA,NA,NA,NA,"9","9","9",NA,"00618",NA,0.56,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1985-04-18 16:00:00,NA,"UTC"
"7","USGS","01491000",1985-05-15,"11:00",NA,NA,"T","USGS-WRD","WS",NA,NA,NA,NA,"9","9","9",NA,"00618",NA,0.84,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1985-05-15 16:00:00,NA,"UTC"
"8","USGS","01491000",1985-05-24,"11:00",NA,NA,"T","USGS-WRD","WS",NA,NA,NA,NA,"9","9","9",NA,"00618",NA,0.87,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1985-05-24 16:00:00,NA,"UTC"
"9","USGS","01491000",1985-05-24,"11:15",NA,NA,"T","USGS-WRD","WS",NA,NA,NA,NA,"9","9","9",NA,"00618",NA,0.9,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1985-05-24 16:15:00,NA,"UTC"
"10","USGS","01491000",1985-06-20,"14:05",NA,NA,"T","USGS-WRD","WS",NA,NA,NA,NA,"4","9","9",NA,"00618",NA,0.83,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1985-06-20 19:05:00,NA,"UTC"
"11","USGS","01491000",1985-07-11,"09:30",NA,NA,"T","USGS-WRD","WS",NA,NA,NA,NA,"9","9","9",NA,"00618",NA,0.72,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1985-07-11 14:30:00,NA,"UTC"
"12","USGS","01491000",1985-07-26,"11:00",NA,NA,"T","USGS-WRD","WS",NA,NA,NA,NA,"4","9","9",NA,"00618",NA,2,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1985-07-26 16:00:00,NA,"UTC"
"13","USGS","01491000",1985-08-15,"09:00",NA,NA,"T","USGS-WRD","WS",NA,NA,NA,NA,"9","9","9",NA,"00618",NA,0.76,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1985-08-15 14:00:00,NA,"UTC"
"14","USGS","01491000",1985-08-29,"11:00",NA,NA,"T","USGS-WRD","WS",NA,NA,NA,NA,"4","9","9",NA,"00618",NA,0.67,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1985-08-29 16:00:00,NA,"UTC"
"15","USGS","01491000",1985-09-13,"10:00",NA,NA,"T","USGS-WRD","WS",NA,NA,NA,NA,"9","9","9",NA,"00618",NA,0.78,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1985-09-13 15:00:00,NA,"UTC"
"16","USGS","01491000",1985-09-27,"13:15",1985-09-28,"07:15","T","USGS-WRD","WS",NA,NA,NA,NA,"8","H","6",NA,"00618",NA,0.56,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1985-09-27 18:15:00,1985-09-28 12:15:00,"UTC"
"17","USGS","01491000",1985-09-28,"09:30",NA,NA,"T","USGS-WRD","WS",NA,NA,NA,NA,"7","9","6",NA,"00618",NA,0.18,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1985-09-28 14:30:00,NA,"UTC"
"18","USGS","01491000",1985-09-29,"09:45",1985-09-30,"19:45","T","USGS-WRD","WS",NA,NA,NA,NA,"5","H","6",NA,"00618",NA,0.27,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1985-09-29 14:45:00,1985-10-01 00:45:00,"UTC"
"19","USGS","01491000",1985-09-29,"10:45",NA,NA,"T","USGS-WRD","WS",NA,NA,NA,NA,"5","9","6",NA,"00618",NA,0.28,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1985-09-29 15:45:00,NA,"UTC"
"20","USGS","01491000",1985-11-04,"08:40",NA,NA,"T","USGS-WRD","WS",NA,NA,NA,NA,"9","9","9",NA,"00618",NA,0.82,NA,"ALGOR","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EST","EST",1985-11-04 13:40:00,NA,"UTC"
